dataset_name,algorithm_name,auc_roc,auc_pr,f1_best,fit_time_sec,predict_time_sec,seed,timestamp,notes,experiment_name,modality,status,best_threshold,contamination_mode,contamination_rate,label_flip_rate,n_train,n_test,train_anomaly_rate,test_anomaly_rate,fit_params,artifact_path,error_type,error_message
cardio,Defended_RF_IQR_Flip,0.982387,0.848972,0.788991,0.27738,0.036177,42,2026-06-04T14:47:40Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.31,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_IQR_Flip_9f20071246.npz,,
cardio,Defended_RF_LOF_Trim,0.998859,0.990006,0.951456,0.339598,0.037463,42,2026-06-04T14:47:40Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.55,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_LOF_Trim_0752d91d73.npz,,
cardio,Defended_RF_LOF_Flip,0.968712,0.789804,0.769231,0.308443,0.04758,42,2026-06-04T14:47:41Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.36,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_LOF_Flip_3c5fd041a6.npz,,
cardio,Defended_RF_KNN_Trim,0.996633,0.973595,0.924528,0.322382,0.031882,42,2026-06-04T14:47:41Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.48,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_KNN_Trim_4fe2e5e315.npz,,
cardio,Defended_RF_KNN_Flip,0.971375,0.827704,0.769231,0.365241,0.049519,42,2026-06-04T14:47:42Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.71,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_KNN_Flip_335d3db080.npz,,
cardio,Defended_RF_IForest_Trim,0.994731,0.960198,0.9,0.514033,0.058888,42,2026-06-04T14:47:42Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.66,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_IForest_Trim_9c2d024b00.npz,,
cardio,Defended_RF_IForest_Flip,0.970652,0.832637,0.754098,0.506066,0.046647,42,2026-06-04T14:47:43Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.23,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_IForest_Flip_cf78ccb5ec.npz,,
cardio,Defended_RF_ECOD_Trim,0.996805,0.975289,0.918367,0.346106,0.044248,42,2026-06-04T14:47:43Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.65,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_ECOD_Trim_ed94345a61.npz,,
cardio,Defended_RF_ECOD_Flip,0.977632,0.827894,0.77686,0.359145,0.0616,42,2026-06-04T14:47:44Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.31,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_ECOD_Flip_298c30c567.npz,,
cardio,Defended_RF_COPOD_Trim,0.995644,0.967934,0.921569,0.315286,0.042779,42,2026-06-04T14:47:44Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.48,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_RF_COPOD_Trim_ebb69a75b1.npz,,
